discoveryToolsMain.valueChainLibraryGraphic.legend.2.0	"drain"	"drain"
discoveryToolsMain.valueChainLibraryGraphic.stages.0.0	"Brief"	"Brief"
discoveryToolsMain.valueChainLibraryGraphic.stages.0.2	"bg-sky-500"	"bg-sky-500"
discoveryToolsMain.valueChainLibraryGraphic.stages.1.2	"bg-sky-500"	"bg-sky-500"
discoveryToolsMain.valueChainLibraryGraphic.stages.2.2	"bg-blue-500"	"bg-blue-500"
discoveryToolsMain.valueChainLibraryGraphic.stages.3.2	"bg-amber-500"	"bg-amber-500"
discoveryToolsMain.valueChainLibraryGraphic.stages.4.2	"bg-emerald-500"	"bg-emerald-500"
discoveryToolsSteps.prepareStep.timeline	"Timeline"	"Timeline"
discoveryToolsSteps.summaryStep.generic.metrics.dogs	"Dogs"	"Dogs"
discoveryToolsSteps.summaryStep.generic.metrics.stars	"Stars"	"Stars"
discoveryToolsTools.marketForces.step.trend	"Trend"	"Trend"
discoveryToolsTools.marketForces.trend	"Trend"	"Trend"
discoveryToolsTools.operational.a3ProblemStep.problemPlaceholder	"Problem..."	"Problem..."
discoveryToolsTools.operational.dmsKpisStep.kpiPlaceholder	"KPI..."	"KPI..."
docs.layout.brand	"Consultify Docs"	"Consultify Docs"
documentStudio.panel.chipQa	"QA"	"QA"
documentStudio.panel.shareToken	"Token"	"Token"
documentStudio.view.title	"Consultify Document Studio"	"Consultify Document Studio"
execution.demo.label	"Demo"	"Demo"
execution.execSnapshot.risks.raids	"RAID log"	"RAID log"
execution.reports.intelligence.control.metrics.notVerified	"NOT_VERIFIED"	"NOT_VERIFIED"
execution.whatIf.intervention.addResource	"+1 FTE"	"+1 FTE"
execution.whatIf.reset	"Reset"	"Reset"
executive.actions.days	"d"	"d"
feedback.alertChannel.whatsapp	"WhatsApp"	"WhatsApp"
feedback.panelContext.device.tablet	"tablet"	"tablet"
feedback.panelContext.modules.admin	"Admin"	"Admin"
feedback.panelContext.modules.superadmin	"SuperAdmin"	"SuperAdmin"
finance.columns.start	"Start"	"Start"
finance.cta.importPdf	"Import PDF"	"Import PDF"
finance.driverPlanner.reset	"Reset"	"Reset"
finance.explainPanel.mappingStatus.auto	"Auto"	"Auto"
finance.exportImport.manifest	"Manifest"	"Manifest"
finance.importWizard.importer	"Importer"	"Importer"
finance.m16.monteCarlo.min	"Min"	"Min"
finance.m16.monteCarlo.p10	"P10"	"P10"
finance.m16.monteCarlo.p90	"P90"	"P90"
finance.m16.monteCarlo.probPositive	"P(NPV > 0)"	"P(NPV > 0)"
finance.m16.monteCarlo.var5	"VaR (5%)"	"VaR (5%)"
finance.m16b.varianceNarration.plan	"Plan"	"Plan"
finance.m16c.rollingForecast.plan	"Plan"	"Plan"
finance.m16d.ledger.colDelta	"Delta"	"Delta"
finance.m16d.ledger.valueDelta	"Delta"	"Delta"
finance.m16d.ratios.dupontRoe	"ROE"	"ROE"
finance.m16d.ratios.ebit	"EBIT"	"EBIT"
finance.m16d.ratios.ebitda	"EBITDA"	"EBITDA"
finance.prediction.model	"Model"	"Model"
help.search.filters.faq	"FAQ"	"FAQ"
help.search.types.faq	"FAQ"	"FAQ"
help.sidePanel.modules.superadmin	"Super Admin"	"Super Admin"
help.sidePanel.tabs.faq	"FAQ"	"FAQ"
ideas.mindmap.link	"Link"	"Link"
ideas.mindmap.minMaxDetail	"Min: {{min}}, Max: {{max}}"	"Min: {{min}}, Max: {{max}}"
ideas.mindmap.plan	"Plan:"	"Plan:"
ideas.table.addColumn.rollup.min	"Min"	"Min"
ideas.table.agg.max	"Max"	"Max"
ideas.table.agg.min	"Min"	"Min"
ideas.table.emailPlaceholder	"email@..."	"email@..."
ideas.table.format	"Format"	"Format"
ideas.table.interfaceDesigner.config.min	"Min"	"Min"
ideas.table.interfaceDesigner.config.placeholder	"Placeholder"	"Placeholder"
ideas.table.publicForm.urlPlaceholder	"https://..."	"https://..."
ideas.table.validationBadgeAdmin	"admin"	"admin"
ideas.table.wizardStep.format	"Format"	"Format"
initiatives.analysis.feasibility.rankingAction	"Ranking"	"Ranking"
initiatives.dependenciesSection.lag	"Lag"	"Lag"
initiatives.format	"Format"	"Format"
initiatives.format2	"Format"	"Format"
initiatives.initiativeCharterWizard.lever.compliance	"Compliance"	"Compliance"
initiatives.initiativeTeamSection.plan	"Plan"	"Plan"
initiatives.plan	"Plan"	"Plan"
initiatives.plan2	"Plan"	"Plan"
initiatives.problem	"Problem"	"Problem"
initiatives.problem2	"Problem"	"Problem"
initiatives.roi.table.roi	"ROI %"	"ROI %"
initiatives.targetStateSection.plan	"Plan"	"Plan"
interview.inference.categories.trend	"Trend"	"Trend"
interview.insightViewer.roles	"Role"	"Roles"
interview.insightViewer.tag	"Tag"	"Tag"
interview.reviewer.link	"Link"	"Link"
interview.singleQuestionRuntime.link	"Link"	"Link"
interview.singleQuestionRuntime.stop	"Stop"	"Stop"
interview.templateBuilder.min	"min"	"min"
interview.templateLibraryMeta.areaTag.compliance	"Compliance"	"Compliance"
interview.templateLibraryMeta.areaTag.digital	"Digital"	"Digital"
interview.templateLibraryMeta.areaTag.hr	"HR"	"HR"
interview.templateLibraryMeta.areaTag.it	"IT"	"IT"
interview.templateLibraryMeta.areaTag.marketing	"Marketing"	"Marketing"
interview.templateLibraryMeta.areaTag.pmo	"PMO"	"PMO"
interview.workspace.status	"Status:"	"Status:"
kimi.remix	"Remix"	"Remix"
kimi.tabele.preview.formatKpi	"Format"	"Format"
kimi.tabeleShell.share.statusAriaLabel	"Status: {{status}}"	"Status: {{status}}"
kimi.template.grid.governanceShort	"Govern."	"Govern."
landing.compliance.badges.iso27001	"ISO 27001"	"ISO 27001"
landing.compliance.badges.soc2	"SOC2 Type II"	"SOC2 Type II"
landing.extendedScope.items.0.bullets.3	"Forecasting"	"Forecasting"
landing.footer.knowledge.blog	"Blog"	"Blog"
landing.footer.knowledge.blogConsultify	"Blog Consultify"	"Blog Consultify"
landing.footer.knowledge.blogDbr77	"Blog DBR77"	"Blog DBR77"
landing.footer.legal.dpa	"DPA"	"DPA"
landing.footer.legal.sla	"SLA"	"SLA"
landing.howItWorks.tech.vector	"DBR77 Vector"	"DBR77 Vector"
landing.howItWorksPage.heroTeaserDuration	"20s"	"20s"
landing.knowledge.minUnit	"min"	"min"
landing.regional.demo	"demo"	"Demo"
landing.topBar.menu	"Menu"	"Menu"
landing.whereItHappens.features.aiCore.badge	"AI Core"	"AI Core"
layout.breadcrumb.module.studio	"Studio"	"Studio"
layout.breadcrumb.page.model	"Model"	"Model"
llm.model	"Model"	"Model"
manager.col.problem	"Problem"	"Problem"
meeting.agenda	"Agenda"	"Agenda"
meeting.preRead	"Pre-read"	"Pre-read"
meta.demo.title	"Demo"	"Demo"
methodWorkspace.methodPack	"Method Pack {{version}}"	"Method Pack {{version}}"
mindmap.persistence.branchProblem	"Problem"	"Problem"
myWork.dependencies.lag	"Lag"	"Lag"
myWork.homeView.signalType.trend	"Trend"	"Trend"
myWork.hub.name9	"Folder"	"Folder"
myWork.ideaInspector.tabs.element	"Element"	"Element"
myWork.ideasList.label10	"Folder"	"Folder"
myWork.inboxContent.columns.sla	"SLA"	"SLA"
myWork.inboxContent.label16	"System"	"System"
myWork.inboxContent.sourceFilter.system	"System"	"System"
myWork.inboxContent.typeFilter.system	"System"	"System"
myWork.knowledge.cardNodes.idPrefix	"ID: {{id}}"	"ID: {{id}}"
myWork.linkedItems.placeholder2	"https://example.com"	"https://example.com"
myWork.manager	"Manager"	"Manager"
myWork.notificationsContent.type.alert	"Alert"	"Alert"
myWork.notificationsContent.type.system	"System"	"System"
myWork.projects.label6	"Program"	"Program"
myWork.projects.program	"Program"	"Program"
myWork.projects.table.program	"Program"	"Program"
myWork.radar.benchmark	"Benchmark"	"Benchmark"
myWork.radar.rel	"Rel"	"Rel"
myWork.radar.visibility.demo	"Demo"	"Demo"
myWork.taskTimer.start	"Start"	"Start"
myWork.taskTimer.start2	"Start"	"Start"
myWork.whiteboard.facilitation.start	"Start"	"Start"
myWork.whiteboard.nodes.defaultLink	"Link"	"Link"
myWorkIdeas.processFlowTool.nodeTooltip.status	"Status:"	"Status:"
myWorkIdeas.workspaceTools.problem	"Problem"	"Problem"
myWorkMindmap.ideaSemanticOption.blocker	"Blocker"	"Blocker"
myWorkMindmap.importExport.csvExcel	"CSV (Excel)"	"CSV (Excel)"
myWorkMindmap.importExport.json	"JSON"	"JSON"
myWorkMindmap.importExport.mermaidPlantuml	"Mermaid / PlantUML"	"Mermaid / PlantUML"
myWorkMindmap.importExport.png	"PNG"	"PNG"
myWorkMindmap.importExport.svg	"SVG"	"SVG"
myWorkMindmap.importExport.xmindFreemindOpml	"XMind / FreeMind / OPML"	"XMind / FreeMind / OPML"
myWorkMindmap.inspector.theme.ocean	"Ocean"	"Ocean"
